comp_price_id,product_id,competitor_name,price,scraped_date,in_stock,source_url
CP0000001,P03719,Meesho,6336.81,2022-03-20,False,https://rajagopal.com/
CP0000002,P02520,Amazon Fashion,547.83,2022-03-03,True,http://saran.com/
CP0000003,P02024,Myntra,10683.12,2022-06-16,True,http://www.barad.org/
CP0000004,P01834,Amazon Fashion,7868.86,2023-04-04,True,http://bhargava-sethi.com/
CP0000005,P04424,Myntra,3100.55,2024-09-16,True,http://www.varma.com/
CP0000006,P01909,Flipkart Fashion,4658.14,2023-10-29,True,http://brar-rajan.biz/
CP0000007,P03242,Amazon Fashion,469.18,2023-11-24,True,http://pandey-vala.com/
CP0000008,P00486,Meesho,1950.09,2022-05-31,False,https://www.kara-dar.org/
CP0000009,P03022,Ajio,1283.41,2022-09-02,True,http://gulati.com/
CP0000010,P02992,Myntra,1982.22,2024-01-08,True,http://johal.com/
CP0000011,P01002,Ajio,348.14,2024-12-04,True,https://www.brahmbhatt.org/
CP0000012,P01922,Amazon Fashion,3997.7,2023-11-14,True,http://www.shanker-lalla.com/
CP0000013,P01120,Snapdeal Fashion,4560.16,2022-06-12,False,http://dara.com/
CP0000014,P03626,Meesho,864.52,2023-11-25,True,https://chaudhari.com/
CP0000015,P02626,Myntra,4193.09,2022-07-13,True,https://karan.info/
CP0000016,P04580,Amazon Fashion,1966.53,2022-05-18,True,http://www.chauhan-datta.org/
CP0000017,P01066,Amazon Fashion,6811.21,2024-12-17,False,https://bera.com/
CP0000018,P03005,Snapdeal Fashion,553.93,2023-02-15,True,https://www.mitter.com/
CP0000019,P04476,Snapdeal Fashion,1430.07,2022-08-13,True,https://www.golla.com/
CP0000020,P02504,Amazon Fashion,1365.0,2024-03-07,False,https://www.doctor.com/
CP0000021,P04024,Myntra,9641.1,2024-08-02,False,https://hans.com/
CP0000022,P03183,Meesho,13904.52,2023-12-31,True,http://www.rajagopal-rao.net/
CP0000023,P02122,Ajio,7723.58,2023-02-08,True,http://www.deep.biz/
CP0000024,P00496,Meesho,7071.8,2024-04-21,False,http://www.dua-nagarajan.info/
CP0000025,P03572,Snapdeal Fashion,3454.84,2023-10-09,True,http://www.singhal.com/
CP0000026,P01548,Snapdeal Fashion,5621.43,2024-12-03,False,https://lad.com/
CP0000027,P00792,Ajio,5253.46,2024-04-17,True,http://www.bir-kaur.org/
CP0000028,P02495,Nykaa Fashion,4990.42,2022-06-14,True,http://naidu.com/
CP0000029,P02020,Flipkart Fashion,2623.97,2023-04-12,True,http://tandon.net/
CP0000030,P04810,Nykaa Fashion,3650.12,2023-06-03,False,http://www.garg.biz/
CP0000031,P04127,Meesho,3109.11,2024-02-04,True,https://acharya.com/
CP0000032,P02910,Myntra,9966.84,2024-09-03,True,http://gara.org/
CP0000033,P04560,Nykaa Fashion,3885.75,2022-08-24,True,https://www.kulkarni.com/
CP0000034,P04853,Meesho,6013.4,2023-10-04,True,https://sabharwal.com/
CP0000035,P01665,Ajio,279.95,2023-12-25,True,http://kari-sengupta.biz/
CP0000036,P04819,Snapdeal Fashion,4169.76,2023-09-22,True,https://prabhakar.net/
CP0000037,P01806,Meesho,3728.77,2024-08-11,True,https://www.garde.com/
